Name Currency,Price,+/-,%,market cap,circulating supply,Volume,Last Updated
Stacks,2.0819,0.01,0.61%,3.05 B,"1,467,012,961",212.09 M,05:40:00 AM
Mantle,0.8963,0.00,0.08%,2.93 B,"3,264,441,708",155.99 M,05:41:00 AM
Cosmos,7.4651,0.03,0.45%,2.92 B,"390,930,671",113.94 M,05:40:00 AM
Stellar,0.0982,0.00,0.76%,2.86 B,"29,075,050,330",47.73 M,05:40:00 AM
OKB,45.9900,-0.32,-0.68%,2.76 B,"60,000,000",5.60 M,05:40:00 AM
Arbitrum,0.9482,0.01,1.23%,2.75 B,"2,896,440,329",240.35 M,05:40:00 AM
Immutable X,1.8069,0.01,0.65%,2.72 B,"1,507,875,589",61.90 M,05:41:00 AM
Crypto.com Coin,0.1021,0.00,1.84%,2.71 B,"26,571,560,696",9.07 M,05:40:00 AM
Injective Protocol,28.1083,-0.70,-2.42%,2.63 B,"93,400,000",242.90 M,05:40:00 AM
First Digital USD,0.9984,0.00,0.01%,2.59 B,"2,589,322,770",5.43 B,05:40:00 AM
dogwifhat,2.4627,0.08,3.33%,2.46 B,"998,905,906",342.42 M,05:41:00 AM
Sui,0.9880,0.02,2.40%,2.40 B,"2,426,143,881",172.50 M,05:41:00 AM
The Graph,0.2478,0.00,1.68%,2.36 B,"9,509,913,974",87.80 M,05:40:00 AM
Bittensor,320.2906,4.84,1.53%,2.22 B,"6,931,509",35.75 M,05:41:00 AM
Optimism,2.0341,0.02,1.09%,2.21 B,"1,086,889,963",228.68 M,05:40:00 AM
VeChain,0.0297,0.00,0.59%,2.16 B,"72,714,516,834",36.66 M,05:40:00 AM
Maker,"2,276.9823",29.49,1.31%,2.11 B,"927,898",52.53 M,05:40:00 AM
Arweave,31.1757,2.08,7.13%,2.05 B,"65,652,466",200.58 M,05:40:00 AM
Floki Inu,0.0002,0.00,3.75%,2.04 B,"9,560,296,993,460",286.84 M,05:40:00 AM
Notcoin,0.0195,0.00,13.58%,2.00 B,"102,701,033,769",707.46 M,05:41:00 AM
Rocket Pool ETH,"3,905.0464",47.17,1.22%,1.99 B,"508,925",5.99 M,05:40:00 AM
Fantom,0.6446,0.01,0.80%,1.81 B,"2,803,634,836",111.41 M,05:40:00 AM
Ondo,1.2885,0.06,4.77%,1.79 B,"1,389,759,838",476.73 M,05:40:00 AM
JasmyCoin,0.0359,0.00,4.91%,1.77 B,"49,299,999,677",124.24 M,05:41:00 AM
Bonk,0.0000,0.00,1.77%,1.77 B,"67,918,724,885,677",271.66 M,05:40:00 AM
THETA,1.7601,0.01,0.50%,1.76 B,"1,000,000,000",25.85 M,05:41:00 AM
Lido DAO Token,1.9565,0.10,5.23%,1.75 B,"893,004,569",122.87 M,05:40:00 AM
Mantle Staked Ether,"3,642.4259",43.78,1.22%,1.65 B,"454,193",3.91 M,05:41:00 AM
THORChain,4.8593,0.11,2.21%,1.63 B,"335,397,625",236.90 M,05:41:00 AM
Bitget Token,1.1629,0.00,-0.36%,1.63 B,"1,400,000,000",51.73 M,05:40:00 AM
Jito Staked SOL,165.6689,1.24,0.75%,1.61 B,"9,741,653",48.26 M,05:41:00 AM
Ethena Staked USDe,1.0781,0.00,0.00%,1.61 B,"1,489,248,037",31.00 M,05:40:00 AM
Zeebu,4.6432,0.01,0.25%,1.53 B,"329,707,787",28.13 M,05:40:00 AM
Celestia,7.9786,0.12,1.57%,1.52 B,"190,577,774",83.90 M,05:41:00 AM
Brett,0.1433,0.00,0.90%,1.42 B,"9,910,236,395",64.16 M,05:40:00 AM
Core,1.5787,0.03,2.12%,1.41 B,"893,181,832",59.71 M,05:40:00 AM
Pyth Network,0.3769,0.00,0.88%,1.37 B,"3,624,988,955",71.50 M,05:40:00 AM
Fetch.ai,1.5781,-0.01,-0.69%,1.34 B,"848,193,896",112.20 M,05:40:00 AM
Sei,0.4465,0.00,0.87%,1.31 B,"2,925,000,000",105.09 M,05:40:00 AM
Starknet,1.0023,0.02,1.62%,1.30 B,"1,300,311,845",77.08 M,05:41:00 AM
Algorand,0.1580,0.00,1.30%,1.29 B,"8,181,505,379",40.50 M,05:40:00 AM
Aave,85.2004,1.43,1.71%,1.27 B,"14,848,213",94.89 M,05:40:00 AM
Venus BNB,14.8116,0.20,1.34%,1.25 B,"84,327,095",826.47 M,05:40:00 AM
Jupiter,0.9127,0.01,0.95%,1.23 B,"1,350,000,000",89.69 M,05:40:00 AM
Flare,0.0273,0.00,-0.49%,1.17 B,"42,700,181,811",6.02 M,05:40:00 AM
Flow,0.7415,0.01,1.52%,1.12 B,"1,511,780,104",35.81 M,05:41:00 AM
Gala,0.0347,0.00,2.43%,1.10 B,"31,676,152,687",93.12 M,05:40:00 AM
Ethena,0.7178,0.02,3.06%,1.09 B,"1,520,312,500",88.38 M,05:40:00 AM
Cheelee,20.2265,0.01,0.04%,1.09 B,"53,837,996",6.54 M,05:40:00 AM
Kelp DAO Restaked ETH,"3,549.7655",46.00,1.31%,1.05 B,"296,931",3.17 M,05:40:00 AM
Chiliz,0.1180,0.01,4.93%,1.05 B,"8,888,289,967",88.77 M,05:40:00 AM
Beam,0.0210,0.00,0.29%,1.04 B,"49,466,004,168",14.40 M,05:40:00 AM
Axie Infinity,7.0488,0.08,1.21%,1.03 B,"145,821,202",39.57 M,05:40:00 AM
Ordinals,48.0629,0.95,2.02%,1.01 B,"21,000,000",192.01 M,05:41:00 AM
Quant,83.2994,0.18,0.22%,1.01 B,"12,072,738",12.99 M,05:40:00 AM
Bitcoin SV,51.0006,0.27,0.54%,1.01 B,"19,715,119",35.50 M,05:40:00 AM
KuCoin Shares,10.4515,0.05,0.48%,999.61 M,"95,642,961","869,288.18",05:41:00 AM
BitTorrent (new),0.0000,0.00,-0.01%,977.85 M,"968,246,428,571,000",36.77 M,05:40:00 AM
